"filename", "language", "Python", "Markdown", "YAML", "C", "pip requirements", "toml", "Makefile", "Ini", "comment", "blank", "total"
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 14, 0, 9, 10, 33
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\README.md", "Markdown", 0, 94, 0, 0, 0, 0, 0, 0, 1, 60, 155
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\CONTRIBUTING.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 21, 53
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.ar-DZ.md", "Markdown", 0, 72, 0, 0, 0, 0, 0, 0, 2, 50, 124
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.fr-FR.md", "Markdown", 0, 65, 0, 0, 0, 0, 0, 0, 1, 43, 109
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.gu-GU.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 46, 114
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.hin-HIN.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 1, 48, 122
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.it-IT.md", "Markdown", 0, 77, 0, 0, 0, 0, 0, 0, 1, 53, 131
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.mr-MR.md", "Markdown", 0, 71, 0, 0, 0, 0, 0, 0, 1, 53, 125
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\README.pt-BR.md", "Markdown", 0, 64, 0, 0, 0, 0, 0, 0, 1, 44, 109
