Date : 2023-03-11 14:58:17
Directory : c:\Users\bhati\hello\Tkinter
Total : 91 files,  5480 codes, 314 comments, 2186 blanks, all 7980 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\figma\endpoints.py                               | Python           |         28 |          4 |          9 |         41 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\figma\frame.py                                   | Python           |        104 |          6 |         44 |        154 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\figma\node.py                                    | Python           |         62 |          8 |         24 |         94 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\figma\vector_elements.py                         | Python           |         72 |         21 |         26 |        119 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\template.py                                      | Python           |          1 |         47 |          1 |         49 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\utils.py                                         | Python           |         17 |          3 |          6 |         26 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\build\gui.py                                                                 | Python           |         91 |          2 |         14 |        107 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\build\gui1.py                                                                | Python           |         36 |          4 |         16 |         56 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\build\gui2.py                                                                | Python           |         36 |          4 |         16 |         56 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\build\gui3.py                                                                | Python           |         36 |          4 |         16 |         56 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\build\gui4.py                                                                | Python           |         36 |          4 |         16 |         56 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\poetry.lock                                                                  | toml             |        212 |          0 |         17 |        229 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\pyproject.toml                                                               | toml             |         12 |          0 |          4 |         16 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\tests\__init__.py                                                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\bhati\hello\Tkinter\Basic.py                                                                                     | Python           |          7 |          0 |          0 |          7 |
| c:\Users\bhati\hello\Tkinter\Basic2.py                                                                                    | Python           |          6 |          0 |          2 |          8 |
| c:\Users\bhati\hello\Tkinter\README.md                                                                                    | Markdown         |         33 |          0 |          6 |         39 |
| c:\Users\bhati\hello\Tkinter\TkinterMASTERDocument.py                                                                     | Python           |         73 |         26 |         26 |        125 |
| c:\Users\bhati\hello\Tkinter\calculator.py                                                                                | Python           |         51 |         21 |         30 |        102 |
| c:\Users\bhati\hello\Tkinter\fcc1.py                                                                                      | Python           |          6 |          3 |          3 |         12 |
| c:\Users\bhati\hello\Tkinter\fcc10.py                                                                                     | Python           |         21 |          7 |          9 |         37 |
| c:\Users\bhati\hello\Tkinter\fcc11.py                                                                                     | Python           |          6 |          1 |          5 |         12 |
| c:\Users\bhati\hello\Tkinter\fcc12.py                                                                                     | Python           |         11 |         10 |          4 |         25 |
| c:\Users\bhati\hello\Tkinter\fcc13.py                                                                                     | Python           |          9 |          1 |          2 |         12 |
| c:\Users\bhati\hello\Tkinter\fcc2.py                                                                                      | Python           |         10 |          3 |          3 |         16 |
| c:\Users\bhati\hello\Tkinter\fcc3.py                                                                                      | Python           |          8 |          1 |          4 |         13 |
| c:\Users\bhati\hello\Tkinter\fcc4.py                                                                                      | Python           |         12 |          1 |          7 |         20 |
| c:\Users\bhati\hello\Tkinter\fcc5.py                                                                                      | Python           |         86 |          3 |         20 |        109 |
| c:\Users\bhati\hello\Tkinter\fcc6.py                                                                                      | Python           |         11 |          1 |          3 |         15 |
| c:\Users\bhati\hello\Tkinter\fcc7.py                                                                                      | Python           |         46 |          1 |         14 |         61 |
| c:\Users\bhati\hello\Tkinter\fcc8.py                                                                                      | Python           |         52 |          2 |         20 |         74 |
| c:\Users\bhati\hello\Tkinter\fcc9.py                                                                                      | Python           |         12 |          1 |          4 |         17 |
| c:\Users\bhati\hello\Tkinter\originalcalc.py                                                                              | Python           |         44 |         20 |         29 |         93 |
| c:\Users\bhati\hello\Tkinter\pg155.py                                                                                     | Python           |         13 |          0 |          4 |         17 |
| c:\Users\bhati\hello\Tkinter\pg157.py                                                                                     | Python           |         13 |          0 |          2 |         15 |
| c:\Users\bhati\hello\Tkinter\pg159.py                                                                                     | Python           |         13 |          0 |          6 |         19 |
| c:\Users\bhati\hello\Tkinter\pg161.py                                                                                     | Python           |         16 |          0 |          7 |         23 |
| c:\Users\bhati\hello\Tkinter\pg162.py                                                                                     | Python           |         19 |          0 |          9 |         28 |
| c:\Users\bhati\hello\Tkinter\pg164.py                                                                                     | Python           |         24 |          0 |          8 |         32 |
| c:\Users\bhati\hello\Tkinter\pg166.py                                                                                     | Python           |         18 |          0 |          7 |         25 |
| c:\Users\bhati\hello\Tkinter\radiobuttons.py                                                                              | Python           |         17 |          1 |          6 |         24 |
| c:\Users\bhati\hello\Tkinter\tempCodeRunnerFile.c                                                                         | C                |        133 |          0 |          0 |        133 |
| Total                                                                                                                     |                  |      5,480 |        314 |      2,186 |      7,980 |
+---------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
